user_id,movie_name,producer,director,genre,release_year,runtime_minutes,budget_band,mpaa_rating,user_rating,review_date
398,Whiplash,Blumhouse Productions,Damien Chazelle,Sci-Fi,2014,107,Medium,R,2,2016-01-22
1913,Schindler's List,Universal Pictures,Steven Spielberg,Adventure,1993,195,High,R,4,2019-08-11
1650,Mad Max: Fury Road,Warner Bros.,George Miller,Drama,2015,120,Medium,R,1,2015-09-06
780,Titanic,Paramount Pictures,James Cameron,Crime,1997,195,High,PG-13,2,2017-02-23
1141,Inception,Warner Bros.,Christopher Nolan,Action,2010,148,High,PG-13,4,2017-01-21
2255,Forrest Gump,Paramount Pictures,Robert Zemeckis,Crime,1994,142,High,PG-13,4,2024-01-23
383,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Animation,1994,142,High,R,1,2025-11-13
1990,Blade Runner 2049,Warner Bros.,Denis Villeneuve,Thriller,2017,164,High,R,2,2019-07-23
1553,Forrest Gump,Paramount Pictures,Robert Zemeckis,Sci-Fi,1994,142,High,PG-13,1,2016-11-05
1864,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Sci-Fi,1994,142,High,R,3,2025-05-23
778,The Godfather,Paramount Pictures,Francis Ford Coppola,Animation,1972,175,High,R,4,2016-09-26
2221,The Godfather,Paramount Pictures,Francis Ford Coppola,Drama,1972,175,High,R,5,2023-04-02
2393,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Adventure,1994,142,High,R,1,2015-07-25
2081,Forrest Gump,Paramount Pictures,Robert Zemeckis,Animation,1994,142,High,PG-13,2,2015-08-21
279,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Action,1994,142,High,R,1,2021-09-03
2334,The Empire Strikes Back,Lucasfilm,Irvin Kershner,Thriller,1980,124,High,PG,4,2016-05-06
336,The Godfather,Paramount Pictures,Francis Ford Coppola,Romance,1972,175,High,R,1,2021-12-11
1296,Pulp Fiction,Miramax,Quentin Tarantino,Romance,1994,154,High,R,5,2020-11-11
1088,"Crouching Tiger, Hidden Dragon",Sony Pictures Classics,Ang Lee,Thriller,2000,120,Medium,PG-13,3,2017-09-04
298,The Dark Knight,Warner Bros.,Christopher Nolan,Comedy,2008,152,High,PG-13,4,2018-07-19
301,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Romance,1994,142,High,R,5,2016-02-14
1430,Inception,Warner Bros.,Christopher Nolan,Animation,2010,148,High,PG-13,3,2016-06-26
647,The Grand Budapest Hotel,Fox Searchlight,Wes Anderson,Thriller,2014,99,Medium,R,3,2018-03-13
2679,Pulp Fiction,Miramax,Quentin Tarantino,Animation,1994,154,High,R,3,2021-11-10
2718,Inception,Warner Bros.,Christopher Nolan,Animation,2010,148,High,PG-13,3,2025-06-13
439,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Action,1994,142,High,R,3,2016-04-17
2478,Goodfellas,Warner Bros.,Martin Scorsese,Action,1990,146,High,R,3,2018-02-28
2598,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Adventure,1994,142,High,R,2,2022-09-16
209,The Social Network,Columbia Pictures,David Fincher,Animation,2010,120,Medium,PG-13,4,2017-10-25
15,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Sci-Fi,1994,142,High,R,3,2015-06-30
1810,The Dark Knight,Warner Bros.,Christopher Nolan,Action,2008,152,High,PG-13,3,2016-10-23
459,Fight Club,20th Century Fox,David Fincher,Sci-Fi,1999,139,High,R,5,2015-02-09
1513,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Action,1994,142,High,R,5,2015-05-28
172,The Matrix,Warner Bros.,Lana Wachowski,Action,1999,136,High,R,4,2016-06-06
2794,The Godfather,Paramount Pictures,Francis Ford Coppola,Drama,1972,175,High,R,3,2017-05-10
2294,The Godfather,Paramount Pictures,Francis Ford Coppola,Crime,1972,175,High,R,3,2023-10-01
634,Moonlight,A24,Barry Jenkins,Sci-Fi,2016,111,Medium,R,5,2023-05-28
726,Blade Runner 2049,Warner Bros.,Denis Villeneuve,Thriller,2017,164,High,R,2,2025-12-12
1361,The Grand Budapest Hotel,Fox Searchlight,Wes Anderson,Drama,2014,99,Medium,R,2,2023-04-05
653,Whiplash,Blumhouse Productions,Damien Chazelle,Sci-Fi,2014,107,Medium,R,2,2017-12-28
159,The Prestige,Warner Bros.,Christopher Nolan,Crime,2006,130,High,PG-13,4,2024-10-12
1886,La La Land,Summit Entertainment,Damien Chazelle,Thriller,2016,128,High,PG-13,2,2024-02-27
2704,The Dark Knight,Warner Bros.,Christopher Nolan,Thriller,2008,152,High,PG-13,2,2015-04-07
285,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Adventure,1994,142,High,R,3,2024-09-10
2087,Up,Pixar,Pete Docter,Comedy,2009,96,Medium,PG,3,2022-03-12
114,The Dark Knight,Warner Bros.,Christopher Nolan,Animation,2008,152,High,PG-13,3,2025-07-14
1088,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Comedy,1994,142,High,R,2,2021-07-06
2985,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Romance,1994,142,High,R,4,2018-11-16
474,The Prestige,Warner Bros.,Christopher Nolan,Sci-Fi,2006,130,High,PG-13,5,2020-09-25
182,The Dark Knight,Warner Bros.,Christopher Nolan,Romance,2008,152,High,PG-13,2,2017-11-09
2206,Gladiator,DreamWorks Pictures,Ridley Scott,Drama,2000,155,High,R,5,2025-05-19
287,Interstellar,Paramount Pictures,Christopher Nolan,Thriller,2014,169,High,PG-13,3,2019-11-02
2718,Alien,20th Century Fox,Ridley Scott,Adventure,1979,117,Medium,R,5,2018-07-09
2732,The Social Network,Columbia Pictures,David Fincher,Comedy,2010,120,Medium,PG-13,5,2018-06-20
522,Pulp Fiction,Miramax,Quentin Tarantino,Sci-Fi,1994,154,High,R,3,2021-03-20
2332,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Sci-Fi,1994,142,High,R,2,2021-11-26
1176,The Godfather,Paramount Pictures,Francis Ford Coppola,Animation,1972,175,High,R,1,2018-05-29
1320,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Romance,1994,142,High,R,5,2022-05-05
1939,Forrest Gump,Paramount Pictures,Robert Zemeckis,Fantasy,1994,142,High,PG-13,2,2020-09-24
2112,The Prestige,Warner Bros.,Christopher Nolan,Action,2006,130,High,PG-13,1,2018-03-08
963,Schindler's List,Universal Pictures,Steven Spielberg,Romance,1993,195,High,R,3,2016-01-18
101,The Empire Strikes Back,Lucasfilm,Irvin Kershner,Thriller,1980,124,High,PG,2,2016-08-26
299,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Fantasy,1994,142,High,R,5,2024-07-12
2853,Pulp Fiction,Miramax,Quentin Tarantino,Romance,1994,154,High,R,2,2023-01-21
2688,The Dark Knight,Warner Bros.,Christopher Nolan,Sci-Fi,2008,152,High,PG-13,2,2016-08-27
721,Interstellar,Paramount Pictures,Christopher Nolan,Crime,2014,169,High,PG-13,4,2017-06-15
2284,Saving Private Ryan,DreamWorks/Amblin,Steven Spielberg,Animation,1998,169,High,R,4,2015-07-25
1904,The Godfather,Paramount Pictures,Francis Ford Coppola,Crime,1972,175,High,R,4,2016-06-30
1813,Schindler's List,Universal Pictures,Steven Spielberg,Animation,1993,195,High,R,5,2018-07-23
2245,The Lord of the Rings: The Return of the King,New Line Cinema,Peter Jackson,Animation,2003,201,High,PG-13,4,2024-04-25
1062,Pulp Fiction,Miramax,Quentin Tarantino,Action,1994,154,High,R,4,2020-01-18
2568,Se7en,New Line Cinema,David Fincher,Comedy,1995,127,High,R,5,2020-06-07
1171,The Godfather,Paramount Pictures,Francis Ford Coppola,Fantasy,1972,175,High,R,1,2023-01-01
2213,The Godfather,Paramount Pictures,Francis Ford Coppola,Adventure,1972,175,High,R,3,2025-01-05
2843,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Action,1994,142,High,R,2,2019-04-18
1670,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Thriller,1994,142,High,R,1,2019-08-27
848,The Godfather,Paramount Pictures,Francis Ford Coppola,Fantasy,1972,175,High,R,4,2015-09-13
2849,Back to the Future,Universal Pictures,Robert Zemeckis,Sci-Fi,1985,116,Medium,PG,5,2025-08-11
25,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Romance,1994,142,High,R,4,2020-05-07
1717,The King's Speech,The Weinstein Company,Tom Hooper,Comedy,2010,118,Medium,R,4,2024-07-27
904,Inception,Warner Bros.,Christopher Nolan,Animation,2010,148,High,PG-13,5,2025-01-25
119,Forrest Gump,Paramount Pictures,Robert Zemeckis,Comedy,1994,142,High,PG-13,4,2020-06-12
1915,The Dark Knight,Warner Bros.,Christopher Nolan,Sci-Fi,2008,152,High,PG-13,2,2024-06-04
1614,The Truman Show,Paramount Pictures,Peter Weir,Romance,1998,103,Medium,PG,5,2015-04-21
1756,The Matrix,Warner Bros.,Lana Wachowski,Drama,1999,136,High,R,1,2022-03-17
1066,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Fantasy,1994,142,High,R,2,2015-07-25
1383,The Dark Knight,Warner Bros.,Christopher Nolan,Thriller,2008,152,High,PG-13,4,2018-08-31
1727,The Departed,Warner Bros.,Martin Scorsese,Sci-Fi,2006,151,High,R,3,2023-06-08
2210,The Godfather,Paramount Pictures,Francis Ford Coppola,Crime,1972,175,High,R,4,2015-03-21
282,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Adventure,1994,142,High,R,2,2022-04-16
1013,Whiplash,Blumhouse Productions,Damien Chazelle,Drama,2014,107,Medium,R,1,2025-08-25
978,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Drama,1994,142,High,R,5,2016-09-16
893,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Crime,1994,142,High,R,5,2025-08-18
2482,Forrest Gump,Paramount Pictures,Robert Zemeckis,Comedy,1994,142,High,PG-13,3,2016-11-18
1275,The Lord of the Rings: The Return of the King,New Line Cinema,Peter Jackson,Crime,2003,201,High,PG-13,2,2025-10-26
2775,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Drama,1994,142,High,R,3,2021-06-16
2929,Avengers: Endgame,Marvel Studios,Anthony Russo,Sci-Fi,2019,181,High,PG-13,4,2025-07-23
2856,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Romance,1994,142,High,R,2,2016-02-22
2319,The Departed,Warner Bros.,Martin Scorsese,Romance,2006,151,High,R,1,2023-12-06
2710,Whiplash,Blumhouse Productions,Damien Chazelle,Adventure,2014,107,Medium,R,5,2019-10-21
1721,The Dark Knight,Warner Bros.,Christopher Nolan,Animation,2008,152,High,PG-13,3,2015-02-21
1484,The Lion King,Walt Disney Pictures,Roger Allers,Crime,1994,88,Low,G,4,2025-10-10
722,The Silence of the Lambs,Orion Pictures,Jonathan Demme,Fantasy,1991,118,Medium,R,2,2019-11-19
2205,Titanic,Paramount Pictures,James Cameron,Comedy,1997,195,High,PG-13,5,2024-01-24
2995,Whiplash,Blumhouse Productions,Damien Chazelle,Fantasy,2014,107,Medium,R,4,2024-04-05
355,The Matrix,Warner Bros.,Lana Wachowski,Adventure,1999,136,High,R,2,2024-04-25
1904,The Godfather,Paramount Pictures,Francis Ford Coppola,Fantasy,1972,175,High,R,2,2023-06-01
2025,Fight Club,20th Century Fox,David Fincher,Sci-Fi,1999,139,High,R,3,2015-04-28
1454,The Social Network,Columbia Pictures,David Fincher,Action,2010,120,Medium,PG-13,4,2017-05-18
2442,Saving Private Ryan,DreamWorks/Amblin,Steven Spielberg,Adventure,1998,169,High,R,3,2024-11-14
2117,Interstellar,Paramount Pictures,Christopher Nolan,Comedy,2014,169,High,PG-13,5,2015-02-11
1665,Alien,20th Century Fox,Ridley Scott,Crime,1979,117,Medium,R,2,2023-01-28
2916,Forrest Gump,Paramount Pictures,Robert Zemeckis,Thriller,1994,142,High,PG-13,4,2022-03-30
908,Forrest Gump,Paramount Pictures,Robert Zemeckis,Drama,1994,142,High,PG-13,1,2018-04-20
2383,The Dark Knight,Warner Bros.,Christopher Nolan,Thriller,2008,152,High,PG-13,3,2022-06-12
1743,The Dark Knight,Warner Bros.,Christopher Nolan,Animation,2008,152,High,PG-13,5,2018-11-09
2879,The Avengers,Marvel Studios,Joss Whedon,Animation,2012,143,High,PG-13,3,2018-12-12
495,Pulp Fiction,Miramax,Quentin Tarantino,Comedy,1994,154,High,R,3,2017-08-02
2195,Titanic,Paramount Pictures,James Cameron,Adventure,1997,195,High,PG-13,1,2023-05-01
1984,Alien,20th Century Fox,Ridley Scott,Action,1979,117,Medium,R,2,2017-06-05
1160,The Godfather,Paramount Pictures,Francis Ford Coppola,Romance,1972,175,High,R,5,2021-09-10
1479,Spirited Away,Studio Ghibli,Hayao Miyazaki,Thriller,2001,125,High,PG,3,2017-07-20
1124,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Drama,1994,142,High,R,5,2016-06-02
2857,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Drama,1994,142,High,R,5,2018-04-11
51,The King's Speech,The Weinstein Company,Tom Hooper,Fantasy,2010,118,Medium,R,1,2024-10-14
1396,The Matrix,Warner Bros.,Lana Wachowski,Fantasy,1999,136,High,R,4,2019-12-10
1957,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Drama,1994,142,High,R,3,2025-07-21
304,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Crime,1994,142,High,R,4,2020-07-07
2306,The Matrix,Warner Bros.,Lana Wachowski,Drama,1999,136,High,R,2,2016-09-03
2286,Alien,20th Century Fox,Ridley Scott,Crime,1979,117,Medium,R,2,2016-04-30
2534,The Departed,Warner Bros.,Martin Scorsese,Romance,2006,151,High,R,5,2023-11-13
1814,The Godfather,Paramount Pictures,Francis Ford Coppola,Animation,1972,175,High,R,4,2020-01-20
2330,The Godfather,Paramount Pictures,Francis Ford Coppola,Romance,1972,175,High,R,4,2018-06-04
852,The Lord of the Rings: The Return of the King,New Line Cinema,Peter Jackson,Romance,2003,201,High,PG-13,1,2025-08-17
983,The Lord of the Rings: The Return of the King,New Line Cinema,Peter Jackson,Comedy,2003,201,High,PG-13,1,2016-10-05
1674,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Crime,1994,142,High,R,2,2015-01-11
134,Pulp Fiction,Miramax,Quentin Tarantino,Romance,1994,154,High,R,4,2018-04-07
2816,The Godfather,Paramount Pictures,Francis Ford Coppola,Comedy,1972,175,High,R,4,2015-10-19
811,The Godfather,Paramount Pictures,Francis Ford Coppola,Comedy,1972,175,High,R,5,2022-06-01
611,Pulp Fiction,Miramax,Quentin Tarantino,Animation,1994,154,High,R,2,2022-04-06
680,Avengers: Endgame,Marvel Studios,Anthony Russo,Action,2019,181,High,PG-13,1,2015-09-02
1183,The Prestige,Warner Bros.,Christopher Nolan,Romance,2006,130,High,PG-13,5,2025-05-01
1649,Pulp Fiction,Miramax,Quentin Tarantino,Fantasy,1994,154,High,R,3,2022-11-06
1794,The King's Speech,The Weinstein Company,Tom Hooper,Animation,2010,118,Medium,R,5,2020-07-15
1321,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Drama,1994,142,High,R,4,2023-03-28
2762,The Lord of the Rings: The Return of the King,New Line Cinema,Peter Jackson,Drama,2003,201,High,PG-13,1,2017-07-26
85,Parasite,CJ Entertainment,Bong Joon-ho,Romance,2019,132,High,R,5,2025-08-30
718,The Avengers,Marvel Studios,Joss Whedon,Comedy,2012,143,High,PG-13,5,2015-06-14
2398,Forrest Gump,Paramount Pictures,Robert Zemeckis,Fantasy,1994,142,High,PG-13,3,2017-01-13
1426,Pulp Fiction,Miramax,Quentin Tarantino,Fantasy,1994,154,High,R,1,2020-04-09
659,Pulp Fiction,Miramax,Quentin Tarantino,Adventure,1994,154,High,R,1,2024-08-14
1641,The Godfather,Paramount Pictures,Francis Ford Coppola,Fantasy,1972,175,High,R,3,2022-06-06
361,American Beauty,DreamWorks,Sam Mendes,Animation,1999,122,High,R,1,2020-02-06
1656,The Godfather,Paramount Pictures,Francis Ford Coppola,Adventure,1972,175,High,R,1,2025-11-17
1693,Mad Max: Fury Road,Warner Bros.,George Miller,Drama,2015,120,Medium,R,5,2020-03-07
2042,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Animation,1994,142,High,R,3,2021-12-25
2250,The Lord of the Rings: The Return of the King,New Line Cinema,Peter Jackson,Drama,2003,201,High,PG-13,2,2017-12-29
2861,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Comedy,1994,142,High,R,4,2024-11-16
981,Forrest Gump,Paramount Pictures,Robert Zemeckis,Drama,1994,142,High,PG-13,5,2023-12-18
2263,Gladiator,DreamWorks Pictures,Ridley Scott,Comedy,2000,155,High,R,5,2015-02-26
482,Pulp Fiction,Miramax,Quentin Tarantino,Thriller,1994,154,High,R,1,2020-03-05
2936,The Silence of the Lambs,Orion Pictures,Jonathan Demme,Action,1991,118,Medium,R,4,2025-06-17
1977,The Godfather,Paramount Pictures,Francis Ford Coppola,Comedy,1972,175,High,R,4,2024-05-12
593,Spirited Away,Studio Ghibli,Hayao Miyazaki,Thriller,2001,125,High,PG,4,2021-03-07
560,The Dark Knight,Warner Bros.,Christopher Nolan,Romance,2008,152,High,PG-13,5,2023-05-15
2080,Mad Max: Fury Road,Warner Bros.,George Miller,Comedy,2015,120,Medium,R,4,2018-10-24
1223,The Godfather,Paramount Pictures,Francis Ford Coppola,Drama,1972,175,High,R,3,2023-02-21
609,Parasite,CJ Entertainment,Bong Joon-ho,Romance,2019,132,High,R,4,2024-09-14
2261,Pulp Fiction,Miramax,Quentin Tarantino,Fantasy,1994,154,High,R,3,2018-09-23
1319,The Departed,Warner Bros.,Martin Scorsese,Sci-Fi,2006,151,High,R,4,2025-06-17
957,The Green Mile,Castle Rock Entertainment,Frank Darabont,Thriller,1999,189,High,R,5,2019-04-18
1938,La La Land,Summit Entertainment,Damien Chazelle,Sci-Fi,2016,128,High,PG-13,1,2018-07-27
2671,Gladiator,DreamWorks Pictures,Ridley Scott,Sci-Fi,2000,155,High,R,4,2022-06-11
2058,Spirited Away,Studio Ghibli,Hayao Miyazaki,Fantasy,2001,125,High,PG,1,2016-06-01
1804,Up,Pixar,Pete Docter,Adventure,2009,96,Medium,PG,1,2024-10-20
591,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Fantasy,1994,142,High,R,1,2023-02-07
1086,Pulp Fiction,Miramax,Quentin Tarantino,Action,1994,154,High,R,1,2020-04-07
1346,The Dark Knight,Warner Bros.,Christopher Nolan,Sci-Fi,2008,152,High,PG-13,1,2024-07-20
1298,The Social Network,Columbia Pictures,David Fincher,Animation,2010,120,Medium,PG-13,4,2025-09-13
2530,The Silence of the Lambs,Orion Pictures,Jonathan Demme,Fantasy,1991,118,Medium,R,5,2015-05-28
371,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Comedy,1994,142,High,R,2,2023-05-17
682,Pulp Fiction,Miramax,Quentin Tarantino,Crime,1994,154,High,R,1,2019-12-23
230,Interstellar,Paramount Pictures,Christopher Nolan,Drama,2014,169,High,PG-13,1,2018-08-21
1001,The Godfather,Paramount Pictures,Francis Ford Coppola,Adventure,1972,175,High,R,4,2016-08-19
718,Inception,Warner Bros.,Christopher Nolan,Romance,2010,148,High,PG-13,2,2016-11-27
987,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Sci-Fi,1994,142,High,R,5,2022-08-30
1889,Forrest Gump,Paramount Pictures,Robert Zemeckis,Romance,1994,142,High,PG-13,2,2017-08-09
39,The Silence of the Lambs,Orion Pictures,Jonathan Demme,Fantasy,1991,118,Medium,R,3,2022-06-24
2239,There Will Be Blood,Paramount Vantage,Paul Thomas Anderson,Fantasy,2007,158,High,R,3,2022-08-07
1226,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Fantasy,1994,142,High,R,3,2021-08-03
1238,The Silence of the Lambs,Orion Pictures,Jonathan Demme,Sci-Fi,1991,118,Medium,R,3,2020-02-15
972,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Sci-Fi,1994,142,High,R,4,2016-03-12
2865,The Dark Knight,Warner Bros.,Christopher Nolan,Adventure,2008,152,High,PG-13,5,2018-04-26
2319,The Godfather,Paramount Pictures,Francis Ford Coppola,Sci-Fi,1972,175,High,R,3,2015-02-03
2035,Mad Max: Fury Road,Warner Bros.,George Miller,Drama,2015,120,Medium,R,5,2023-05-11
1444,Back to the Future,Universal Pictures,Robert Zemeckis,Comedy,1985,116,Medium,PG,2,2021-10-22
2777,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Thriller,1994,142,High,R,5,2017-10-23
2571,Se7en,New Line Cinema,David Fincher,Action,1995,127,High,R,1,2025-02-17
2374,The Silence of the Lambs,Orion Pictures,Jonathan Demme,Comedy,1991,118,Medium,R,4,2015-05-17
1209,The Dark Knight,Warner Bros.,Christopher Nolan,Action,2008,152,High,PG-13,1,2025-03-14
542,The Godfather,Paramount Pictures,Francis Ford Coppola,Sci-Fi,1972,175,High,R,2,2017-04-02
1117,The Prestige,Warner Bros.,Christopher Nolan,Adventure,2006,130,High,PG-13,5,2020-08-17
1209,Back to the Future,Universal Pictures,Robert Zemeckis,Comedy,1985,116,Medium,PG,4,2025-11-06
309,Goodfellas,Warner Bros.,Martin Scorsese,Adventure,1990,146,High,R,1,2020-04-02
2283,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Thriller,1994,142,High,R,4,2025-11-05
2198,The Dark Knight,Warner Bros.,Christopher Nolan,Sci-Fi,2008,152,High,PG-13,1,2017-12-19
1561,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Adventure,1994,142,High,R,3,2021-07-22
958,The Lion King,Walt Disney Pictures,Roger Allers,Adventure,1994,88,Low,G,1,2022-07-27
2499,Forrest Gump,Paramount Pictures,Robert Zemeckis,Romance,1994,142,High,PG-13,5,2018-09-05
2872,The Godfather,Paramount Pictures,Francis Ford Coppola,Crime,1972,175,High,R,4,2025-03-13
186,The Godfather,Paramount Pictures,Francis Ford Coppola,Sci-Fi,1972,175,High,R,1,2016-07-26
399,The King's Speech,The Weinstein Company,Tom Hooper,Comedy,2010,118,Medium,R,4,2016-04-20
1859,The Godfather,Paramount Pictures,Francis Ford Coppola,Animation,1972,175,High,R,2,2019-05-11
2977,The Dark Knight,Warner Bros.,Christopher Nolan,Animation,2008,152,High,PG-13,4,2021-08-02
2005,The Shawshank Redemption,Castle Rock Entertainment,Frank Darabont,Sci-Fi,1994,142,High,R,1,2024-05-07
1518,The Lord of the Rings: The Return of the King,New Line Cinema,Peter Jackson,Comedy,2003,201,High,PG-13,1,2022-09-28
